"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Zwift - Pacer Group Ride: Tick Tock in Watopia with Miguel","Bike","","","","2023-07-23","","35731.19921875","138","299","500.459","","1.00583338737488","9.86699962615967","","82","","0","0","","","0.548495237309397","30.03","","","","","","","","","","","37","22","1","0","0","0","","","","","",""
"Zwift - Workout of the Week | Marianne Vos: TT Workout in Watopia","Bike","","","","2023-07-24","","19357.80078125","154","311","468.848","","0.845000028610229","6.36299991607666","","81","","0","0","","","0.689845501838618","39.78","","","","","","","","","","","28","6","14","2","0","0","","","","","",""
"Zwift - Pacer Group Ride: Tempus Fugit in Watopia with Miguel","Bike","","","","2023-07-24","","6654.759765625","149","817","98.978","","0.184166669845581","10.0369997024536","","83","","0","0","","","1.03169328534275","18.73","","","","","","","","","","","8","2","0","0","0","1","","","","","",""
"Zwift - Pacer Group Ride: Watopia's Waistband in Watopia with Maria","Bike","","","","2023-07-25","","40326.078125","163","312","633.179","","1.07500004768372","10.4200000762939","","88","","0","0","","","0.648586521956015","44.98","","","","","","","","","","","15","41","6","1","0","0","","","","","",""
"Zwift - Road to Sky in Watopia","Bike","","","","2023-07-27","","33861.8203125","181","360","1060.866","","1.62305557727814","5.79500007629395","","76","","0","0","","","0.808048055466542","105.62","","","","","","","","","","","29","5","44","19","0","0","","","","","",""
"Zwift - Pacer Group Ride: Tempus Fugit in Watopia with Miguel","Bike","","","","2023-07-28","","31388.9296875","133","230","415.122","","0.866111099720001","10.0670003890991","","83","","0","0","","","0.526131580821284","23.71","","","","","","","","","","","38","14","0","0","0","0","","","","","",""
"Zwift - Group Ride: Bicycle Way of Life Saturday Ride (D) on Watopia's Waistband in Watopia","Bike","","","","2023-07-29","","101475.2265625","168","588","1680.482","","2.77416658401489","10.1599998474121","","81","","0","0","","","0.674804954563297","125.75","","","","","","","","","","","38","98","24","5","1","0","","","","","",""
"Zwift - Pacer Group Ride: Tempus Fugit in Watopia with Miguel","Bike","","","","2023-07-30","","27513.859375","139","275","379.022","","0.756944417953491","10.0959997177124","","78","","0","0","","","0.548488667319697","22.54","","","","","","","","","","","28","17","0","0","0","0","","","","","",""
"Zwift - 2x15 FTP Intervals in Watopia","Bike","","","","2023-08-01","","40410.23828125","173","236","709.687","","1.13861107826233","9.85799980163574","","78","","0","0","","","0.741402842869185","62.29","","","","","","","","","","","28","10","30","0","0","0","","","","","",""
"Zwift - Pacer Group Ride: Flat Route in Watopia with Maria","Bike","","","","2023-08-02","","40455.51953125","163","883","640.921","","1.08666670322418","10.3409996032715","","78","","0","0","","","0.753406671719609","61.34","","","","","","","","","","","18","39","6","2","0","0","","","","","",""
"Zwift - Pacer Group Ride: Tire-Bouchon in France with Maria","Bike","","","","2023-08-04","","36062.16015625","177","366","643.788","","1.00666666030884","9.94999980926514","","79","","0","0","","","0.707774925981705","50.05","","","","","","","","","","","9","33","14","3","0","0","","","","","",""
"Zwift - Group Ride: Bicycle Way of Life Saturday Ride (D) on Tempus Fugit in Watopia","Bike","","","","2023-08-05","","103533.328125","169","501","1832.785","","3.00666666030884","9.5649995803833","","80","","0","0","","","0.685111134584249","140.69","","","","","","","","","","","43","99","30","8","1","0","","","","","",""
"Zwift - Pacer Group Ride: Tempus Fugit in Watopia with Bernie","Bike","","","","2023-08-06","","26804.08984375","140","283","383.008","","0.756388902664185","9.8430004119873","","87","","0","0","","","0.561240055674407","23.53","","","","","","","","","","","28","17","1","0","0","0","","","","","",""
"Zwift - Pacer Group Ride: Railways and Rooftops in Makuri Islands with Maria","Bike","","","","2023-08-10","","35551.98046875","174","398","645.862","","1.02972221374512","9.59000015258789","","83","","0","0","","","0.694477168411869","49.16","","","","","","","","","","","17","25","14","4","1","0","","","","","",""
"Zwift - Pacer Group Ride: Flat Route in Watopia with Miguel","Bike","","","","2023-08-11","","40724.48046875","142","377","618.194","","1.20333337783813","9.39999961853027","","82","","0","0","","","0.574022244135939","39.52","","","","","","","","","","","39","28","4","1","0","0","","","","","",""
"Zwift - Group Ride: Bicycle Way of Life Saturday Ride (D) on Tempus Fugit in Watopia","Bike","","","","2023-08-12","","101172.15625","194","484","1752.552","","2.50472211837769","11.2200002670288","","87","","0","0","","","0.766722222599979","146.93","","","","","","","","","","","13","72","45","14","5","1","","","","","",""
"Zwift - Pacer Group Ride: Flat Route in Watopia with Miguel","Bike","","","","2023-08-13","","33967.96875","132","284","484.454","","1.01499998569489","9.29599952697754","","79","","0","0","","","0.530475865463641","28.27","","","","","","","","","","","41","18","1","0","0","0","","","","","",""
"Zwift - Pacer Group Ride: Rolling Highlands in Scotland with Maria","Bike","","","","2023-08-15","","37198.80078125","165","307","600.864","","1.00611114501953","10.2700004577637","","79","","0","0","","","0.663041656345383","43.77","","","","","","","","","","","17","31","11","2","0","0","","","","","",""
"Zwift - Pacer Group Ride: Volcano Circuit in Watopia with Maria","Bike","","","","2023-08-17","","38744.8984375","166","337","612.354","","1.01861107349396","10.5649995803833","","85","","0","0","","","0.663397338389987","44.35","","","","","","","","","","","16","34","8","3","1","0","","","","","",""
"Zwift - Ven-Top in France","Bike","","","","2023-08-18","","42172.0703125","197","310","1475.391","","2.07879114151001","5.63500022888184","","75","","0","0","","","0.834471345895183","143","","","","","","","","","","","22","4","74","24","0","0","","","","","",""
"Zwift - 2x20 FTP Intervals in Watopia","Bike","","","","2023-08-22","","23701.880859375","167","231","455.61","","0.753611087799072","8.73600006103516","","75","","0","0","","","0.726319233095679","39.42","","","","","","","","","","","16","9","20","0","0","0","","","","","",""
"Zwift - Pacer Group Ride: Triple Flat Loops in Watopia with Maria","Bike","","","","2023-08-24","","45197.7890625","158","354","726.903","","1.27416670322418","9.85299968719482","","84","","0","0","","","0.630208056644312","50.3","","","","","","","","","","","21","48","6","1","0","0","","","","","",""
"Zwift - Pacer Group Ride: Volcano Circuit in Watopia with Miguel","Bike","","","","2023-08-26","","100134.03125","154","416","1581.369","","2.83611106872559","9.80700016021729","","84","","0","0","","","0.620149578032938","108.5","","","","","","","","","","","63","92","12","3","0","0","","","","","",""
"Zwift - Step By Step in Watopia","Bike","","","","2023-08-28","","33885.5390625","161","278","589.007","","1.00999999046326","9.31900024414063","","85","","0","0","","","0.72488849620127","52.73","","","","","","","","","","","29","14","2","15","0","0","","","","","",""
"Zwift - Tempo in Watopia","Bike","","","","2023-08-30","","48420.078125","155","311","859.924","","1.53750002384186","8.74699974060059","","86","","0","0","","","0.656117652955888","65.99","","","","","","","","","","","47","38","5","2","0","0","","","","","",""
"Zwift - Pacer Group Ride: Volcano Flat in Watopia with Maria","Bike","","","","2023-08-31","","35542.25","151","294","560.797","","1.02611112594604","9.62100028991699","","86","","0","0","","","0.605163753836263","37.4","","","","","","","","","","","24","33","3","1","0","0","","","","","",""
"Zwift - Pacer Group Ride: Three Little Sisters in Watopia with Coco","Bike","","","","2023-09-02","","80616.8515625","191","544","1577.727","","2.28305554389954","9.80799961090088","","83","","0","0","","","0.766611179374379","133.69","","","","","","","","","","","16","58","46","14","2","1","","","","","",""
"Zwift - Workout 14 in Watopia","Bike","","","","2023-09-04","","38725.6484375","144","307","657.323","","1.26666665077209","8.49199962615967","","85","","0","0","","","0.704604152754485","62.46","","","","","","","","","","","57","3","0","7","9","0","","","","","",""
"Zwift - Pacer Group Ride: Island Hopper in Makuri Islands with Maria","Bike","","","","2023-09-05","","37156.44921875","161","331","676.972","","1.16277778148651","8.87600040435791","","82","","0","0","","","0.643987191846825","48.03","","","","","","","","","","","21","37","10","1","0","0","","","","","",""
"Zwift - Pacer Group Ride: Tick Tock in Watopia with Coco","Bike","","","","2023-09-08","","48398.578125","189","336","876.693","","1.28222227096558","10.4840002059937","","84","","0","0","","","0.748339004495202","71.25","","","","","","","","","","","3","44","25","4","0","0","","","","","",""
"Zwift - Pacer Group Ride: Volcano Flat in Watopia with Miguel","Bike","","","","2023-09-10","","2604.7099609375","125","285","37.66","","0.0832033380866051","8.69499969482422","","85","","0","0","","","0.528424256942867","2.11","","","","","","","","","","","4","1","0","0","0","0","","","","","",""
"Zwift - Group Ride: 3R Endurance Steady Ride (C) on R.G.V. in France","Bike","","","","2023-09-10","","100917.3671875","182","411","1768.941","","2.69888877868652","10.3859996795654","","76","","0","0","","","0.72155860464052","139.78","","","","","","","","","","","17","97","36","10","2","0","","","","","",""
"Zwift - Watopia","Bike","","","","2023-09-10","","29080.2890625","169","323","487.041","","0.797777771949768","10.125","","77","","0","0","","","0.675909697331503","36.14","","","","","","","","","","","8","33","7","0","0","0","","","","","",""
"Zwift - Pacer Group Ride: Tick Tock in Watopia with Maria","Bike","","","","2023-09-11","","27436.73046875","155","252","422.892","","0.757222235202789","10.0640001296997","","77","","0","0","","","0.6135307669753","28.26","","","","","","","","","","","14","29","2","0","0","0","","","","","",""
"Zwift - Quatch Quest in Watopia","Bike","","","","2023-09-13","","64504.87109375","170","355","1767.578","","2.87309980392456","6.23600006103516","","66","","0","0","","","0.750595869158392","160.27","","","","","","","","","","","50","36","72","14","0","0","","","","","",""
"Zwift - Pacer Group Ride: Tick Tock in Watopia with Maria","Bike","","","","2023-09-14","","37144.26171875","162","267","596.562","","1.01999998092651","10.1149997711182","","78","","0","0","","","0.644270704651356","42.11","","","","","","","","","","","12","44","5","0","0","0","","","","","",""
"Zwift - Pacer Group Ride: Tempus Fugit in Watopia with Coco","Bike","","","","2023-09-16","","48422.8515625","182","293","819.604","","1.24694442749023","10.7869997024536","","79","","0","0","","","0.72075033229377","64.28","","","","","","","","","","","3","53","17","2","0","0","","","","","",""
"Zwift - Ramp Test in Watopia","Bike","","","","2023-09-18","","32351.51953125","133","351","483.741","","1.00472223758698","8.94400024414063","","79","","0","0","","","0.683081535614782","46.77","","","","","","","","","","","44","8","3","2","2","2","","","","","",""
"Zwift - Zwift Pro Training Camp: Jumbo-Visma | Sepp Kuss: Cadence Efforts in Watopia","Bike","","","","2023-09-20","","40373.3984375","182","317","751.722","","1.14444446563721","9.79899978637695","","74","","0","0","","","0.761939151092139","66.03","","","","","","","","","","","23","12","26","7","1","0","","","","","",""
"Zwift - Pacer Group Ride: Tick Tock in Watopia with Miguel","Bike","","","","2023-09-23","","6538.759765625","123","209","83.858","","0.188756659626961","9.62199974060059","","80","","0","0","","","0.49157534676737","4.35","","","","","","","","","","","9","2","0","0","0","0","","","","","",""
"Zwift - Group Ride: Bicycle Way of Life Saturday Ride (D) on Neon Flats in Makuri Islands","Bike","","","","2023-09-23","","106312.546875","151","706","1635.53","","2.98972225189209","9.8769998550415","","80","","0","0","","","0.628170155650598","117.36","","","","","","","","","","","83","77","12","5","2","1","","","","","",""
"Zwift - Workout of the Week | VO2 Blast in Watopia","Bike","","","","2023-09-25","","35589.44140625","180","312","655.746","","1.01166665554047","9.77099990844727","","75","","0","0","","","0.777154399803802","60.9","","","","","","","","","","","10","36","2","7","6","0","","","","","",""
"Zwift - Pacer Group Ride: Watopia's Waistband in Watopia with Maria","Bike","","","","2023-09-27","","74381.1328125","179","418","1293.404","","2.00611114501953","10.298999786377","","78","","0","0","","","0.729518798926624","106.06","","","","","","","","","","","23","65","22","8","3","1","","","","","",""
"Zwift - Pacer Group Ride: Watopia's Waistband in Watopia with Maria","Bike","","","","2023-10-01","","17878.099609375","185","362","322.546","","0.484166651964188","10.2569999694824","","78","","0","0","","","0.738892038495189","26.01","","","","","","","","","","","4","15","8","2","1","0","","","","","",""
"Zwift - Group Ride: Tour of Watopia Welcome Ride 2023 on Tempus Fugit in Watopia","Bike","","","","2023-10-01","","22640.369140625","189","330","393.478","","0.576666653156281","10.9049997329712","","76","","0","0","","","0.74994238916107","32.02","","","","","","","","","","","1","21","11","2","0","0","","","","","",""
"Zwift - Group Ride: Tour of Watopia Ride 2023 | Stage 1 | Long on Three Little Sisters in Watopia","Bike","","","","2023-10-02","","38722.28125","186","444","738.832","","1.10194444656372","9.76099967956543","","75","","0","0","","","0.767291307322663","64.35","","","","","","","","","","","13","26","17","9","2","1","","","","","",""
"Zwift - Group Ride: Tour of Watopia Ride 2023 | Stage 1 | Standard on Figure 8 in Watopia","Bike","","","","2023-10-03","","34284.98046875","184","378","630.007","","0.948055565357208","10.0450000762939","","79","","0","0","","","0.751049814991558","53.05","","","","","","","","","","","11","25","14","5","1","1","","","","","",""
"Zwift - Group Ride: Tour of Watopia Ride 2023 | Stage 1 | Short on Ocean Lava Cliffside Loop in Watopia","Bike","","","","2023-10-03","","19715.029296875","175","348","367.94","","0.583611130714417","9.38300037384033","","76","","0","0","","","0.712222337676591","29.19","","","","","","","","","","","6","20","6","2","1","0","","","","","",""
"Zwift - Group Ride: Tour of Watopia Ride 2023 | Stage 1 | Standard on Figure 8 in Watopia","Bike","","","","2023-10-04","","33879.80078125","190","719","646.163","","0.941111087799072","9.99899959564209","","78","","0","0","","","0.781561950768801","57.05","","","","","","","","","","","10","22","15","6","2","1","","","","","",""
"Zwift - Group Ride: Tour of Watopia Ride 2023 | Stage 1 | Short on Ocean Lava Cliffside Loop in Watopia","Bike","","","","2023-10-04","","22649.5","163","481","402.084","","0.684166669845581","9.19499969482422","","75","","0","0","","","0.675378361988199","30.92","","","","","","","","","","","12","21","5","2","1","0","","","","","",""
"Zwift - Group Ride: Tour of Watopia Ride 2023 | Stage 1 | Standard on Figure 8 in Watopia","Bike","","","","2023-10-05","","33931.0390625","185","357","641.583","","0.961944460868835","9.79800033569336","","78","","0","0","","","0.757359703765463","54.85","","","","","","","","","","","10","26","13","6","2","0","","","","","",""
"Zwift - Group Ride: Tour of Watopia Ride 2023 | Stage 1 | Standard on Figure 8 in Watopia","Bike","","","","2023-10-06","","32362.33984375","190","853","621.956","","0.905833303928375","9.92399978637695","","79","","0","0","","","0.814831615721901","59.51","","","","","","","","","","","10","23","14","4","2","1","","","","","",""
"Zwift - Group Ride: Tour of Watopia Ride 2023 | Stage 1 | Standard on Figure 8 in Watopia","Bike","","","","2023-10-07","","33856.69921875","188","445","645.335","","0.950555562973022","9.89299964904785","","80","","0","0","","","0.770162528129279","55.94","","","","","","","","","","","10","25","14","6","1","1","","","","","",""
"Zwift - Group Ride: Tour of Watopia Ride 2023 | Stage 1 | Standard on Figure 8 in Watopia","Bike","","","","2023-10-07","","48472.671875","162","380","849.687","","1.45249998569489","9.26900005340576","","77","","0","0","","","0.661437893291214","63.32","","","","","","","","","","","27","44","12","3","1","0","","","","","",""
"Zwift - Group Ride: Tour of Watopia Ride 2023 | Stage 1 | Standard on Figure 8 in Watopia","Bike","","","","2023-10-08","","34041.30859375","193","877","664.704","","0.956388890743256","9.88700008392334","","78","","0","0","","","0.817468652955846","63.36","","","","","","","","","","","11","21","14","7","3","2","","","","","",""
"Zwift - Group Ride: Tour of Watopia Ride 2023 | Stage 2 | Standard on Triple Flat Loops in Watopia","Bike","","","","2023-10-09","","40448.1796875","192","692","732.66","","1.05499994754791","10.6490001678467","","78","","0","0","","","0.786649320427891","64.73","","","","","","","","","","","7","29","21","4","1","1","","","","","",""
"Zwift - Tick Tock in Watopia","Bike","","","","2023-10-10","","11332.2197265625","158","249","193.867","","0.340555548667908","9.24300003051758","","80","","0","0","","","0.629354001923294","13.19","","","","","","","","","","","5","14","2","0","0","0","","","","","",""
"Zwift - Group Ride: Tour of Watopia Ride 2023 | Stage 2 | Short on Tick Tock in Watopia","Bike","","","","2023-10-10","","21190.73046875","210","618","408.284","","0.538333356380463","10.9340000152588","","81","","0","0","","","0.883401825550946","41.38","","","","","","","","","","","4","6","14","5","2","2","","","","","",""
"Zwift - Group Ride: Tour of Watopia Ride 2023 | Stage 2 | Long on Eastern Eight in Watopia","Bike","","","","2023-10-12","","56478.71875","185","686","1051.99","","1.57277774810791","9.97500038146973","","80","","0","0","","","0.778328001967003","94.79","","","","","","","","","","","14","47","21","9","2","1","","","","","",""
"Zwift - Group Ride: Tour of Watopia Ride 2023 | Stage 2 | Standard on Triple Flat Loops in Watopia","Bike","","","","2023-10-14","","36413.58984375","195","620","679.396","","0.963611125946045","10.496000289917","","79","","0","0","","","0.793256438646875","60.2","","","","","","","","","","","3","31","16","5","2","1","","","","","",""
"Zwift - Group Ride: Tour of Watopia Ride 2023 | Stage 2 | Standard on Triple Flat Loops in Watopia","Bike","","","","2023-10-14","","48479.16015625","178","675","880.166","","1.36666667461395","9.85299968719482","","80","","0","0","","","0.741068343269018","74.45","","","","","","","","","","","15","46","14","4","2","1","","","","","",""
"Zwift - Group Ride: Tour of Watopia Ride 2023 | Stage 3 | Long on Tour of Fire and Ice in Watopia","Bike","","","","2023-10-16","","50111.859375","192","504","1381.781","","1.99380218982697","6.98099994659424","","67","","0","0","","","0.849792722879743","142.77","","","","","","","","","","","23","25","22","46","4","0","","","","","",""
"Zwift - Pacer Group Ride: Volcano Circuit in Watopia with Maria","Bike","","","","2023-10-17","","32287.359375","159","330","509.164","","0.886666655540466","10.1149997711182","","78","","0","0","","","0.639310575276853","35.84","","","","","","","","","","","18","28","4","3","1","0","","","","","",""
"Zwift - Pacer Group Ride: Volcano Circuit in Watopia with Maria","Bike","","","","2023-10-18","","27576.2890625","162","357","440.369","","0.754166662693024","10.1569995880127","","77","","0","0","","","0.649035050759792","31.47","","","","","","","","","","","14","26","3","2","1","0","","","","","",""
"Zwift - Pacer Group Ride: Triple Flat Loops in Watopia with Coco","Bike","","","","2023-10-20","","48437.828125","193","406","867.725","","1.24777781963348","10.7829999923706","","81","","0","0","","","0.762276833978159","72.07","","","","","","","","","","","4","39","24","6","1","1","","","","","",""
"Zwift - Pacer Group Ride: Triple Flat Loops in Watopia with Coco","Bike","","","","2023-10-22","","58024.98046875","181","367","1008.219","","1.54155910015106","10.4549999237061","","81","","0","0","","","0.727711910996358","81.19","","","","","","","","","","","15","49","21","7","2","1","","","","","",""
